id,gpt3_bug_type,gpt3_root_cause,gpt3_effect,gpt4_bug_type,gpt4_root_cause,gpt4_effect,claude_bug_type,claude_root_cause,claude_effect,deepseek_bug_type,deepseek_root_cause,deepseek_effect
59864408,API Bug,API Misuse (APIM),Memory Out of bound,SB.Control and Sequence Bug,Others,Unknown,Processing Bug,Others,Structure Ineffciency (SI),SB.Data flow Bug,Others,Bad Performance
59953127,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
60174964,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
60840500,SB.Data flow Bug,Absence of type checking,Incorrect Functionality,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Absense of inter API compatibility,Crash,Data Bug,Unaligned Tensor (UT),Crash
61137954,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
61586981,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
61814614,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
62068323,SB.Control and Sequence Bug,Unaligned Tensor (UT),Incorrect Functionality,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Crash,SB.Control and Sequence Bug,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash
62253289,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
62280161,NMSB.Logic Bugs,API Misuse (APIM),Crash,NMSB.Logic Bugs,API Misuse (APIM),Crash,NMSB.Logic Bugs,API Misuse (APIM),Crash,NMSB.Logic Bugs,API Misuse (APIM),Crash
62622704,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash
62931610,API Bug,API Change (APIC),Crash,API Bug,Others,Unknown,API Bug,API Change (APIC),Crash,API Bug,Others,Bad Performance
63059979,API Bug,API Misuse (APIM),Crash,API Bug,API Change (APIC),Unknown,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Unknown
63068639,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Data Corruption,API Bug,API Change (APIC),Crash
