id,gpt3_bug_type,gpt3_root_cause,gpt3_effect,gpt4_bug_type,gpt4_root_cause,gpt4_effect,claude_bug_type,claude_root_cause,claude_effect,deepseek_bug_type,deepseek_root_cause,deepseek_effect
59582663,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash
60022388,SB.Control and Sequence Bug,API Misuse (APIM),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
60090093,Data Bug,Absence of type checking,Incorrect Functionality,Data Bug,Unaligned Tensor (UT),Incorrect Functionality,Data Bug,API Misuse (APIM),Incorrect Functionality,Data Bug,API Misuse (APIM),Incorrect Functionality
60101168,SB.Control and Sequence Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,Data Bug,Structure Ineffciency (SI),Crash,Data Bug,Structure Ineffciency (SI),Crash
60239051,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
60440292,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Incorrect Model Parameter or Structure (IPS),Crash
60840500,SB.Data flow Bug,API Misuse (APIM),Crash,Data Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash
60847083,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Data flow Bug,API Misuse (APIM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash,API Bug,API Misuse (APIM),Crash
61156894,SB.Data flow Bug,Unaligned Tensor (UT),Crash,SB.Data flow Bug,Unaligned Tensor (UT),Crash,Data Bug,Unaligned Tensor (UT),Crash,API Bug,API Misuse (APIM),Crash
61242966,API Bug,API Change (APIC),Crash,API Bug,API Change (APIC),Crash,API Bug,API Misuse (APIM),Crash,API Bug,Unaligned Tensor (UT),Crash
61473330,API Bug,Incorrect Model Parameter or Structure (IPS),Crash,SB.Control and Sequence Bug,Unaligned Tensor (UT),Crash,SB.Control and Sequence Bug,Structure Ineffciency (SI),Crash,Data Bug,Unaligned Tensor (UT),Crash
61808965,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,Confusion with Computation Model(CCM),Crash,SB.Logic Bugs,API Misuse (APIM),Crash
